Sunday,01,March,2020,18:23:14:62939,VCDS Version: Release 12.12.0 (x64),Data version: 20130910
06A 906 018 AQ,,,

,Group A:,'002,,,,Group B:,'007,,,,Group C:, Not Running
,,Idle speed,Engine load,Inj. period,Air mass in,,Lambda reg,Probe volts,Valve duty,Correction,,,,,
,TIME,800-920 rpm,0.5-1.5 m/s,1.00-3.00 m/s,1.8-4 g/s,TIME,-10-10%,0-1V,angle 0-99%,0.3-1.25,TIME,,,,
Marker,STAMP, /min, ms, /min, ms,STAMP, %, V, %,,STAMP,,,,
,1.30,1360,1.65,3.52,7.36,1.04,3.9,0.445,5.9,1.01,,,,,
,1.81,1360,1.70,3.52,7.57,1.55,-1.6,0.755,6.6,1.01,,,,,
,2.34,1400,3.80,8.26,16.87,2.07,-4.7,0.720,99.6,1.00,,,,,
,2.85,1480,4.15,8.58,19.51,2.60,-9.4,0.685,93.4,1.00,,,,,
,3.37,1560,4.45,9.22,22.15,3.10,-4.7,0.180,99.6,1.00,,,,,
,3.88,1640,4.75,9.60,24.79,3.63,-8.6,0.735,94.1,1.01,,,,,
,4.39,1720,5.00,10.05,27.57,4.13,-4.7,0.170,99.6,1.01,,,,,
,4.90,1800,5.20,10.82,30.42,4.64,-5.5,0.230,97.3,1.01,,,,,
,5.41,1920,5.45,11.07,33.33,5.16,-3.9,0.755,98.0,1.01,,,,,
,5.92,2000,5.85,12.22,37.64,5.66,-5.5,0.310,98.4,1.01,,,,,
,6.45,2120,6.35,13.76,43.40,6.19,0.0,0.815,99.6,1.01,,,,,
,6.98,2240,6.55,14.02,47.36,6.71,0.0,0.840,99.6,1.01,,,,,
,7.49,2400,6.55,13.89,49.79,7.24,0.0,0.825,99.6,1.01,,,,,
,8.00,2520,6.45,13.57,52.36,7.75,0.0,0.810,99.6,1.01,,,,,
,8.53,2680,6.45,13.63,54.79,8.26,0.0,0.810,99.6,1.01,,,,,
,9.05,2800,6.45,13.70,57.36,8.79,0.0,0.820,99.6,1.00,,,,,
,9.57,2920,6.45,13.76,60.34,9.31,0.0,0.820,99.6,1.00,,,,,
,10.11,3080,6.50,13.95,63.89,9.83,0.0,0.825,99.6,1.00,,,,,
,10.62,3200,6.70,14.46,68.47,10.36,0.0,0.825,99.6,1.00,,,,,
,11.15,3320,6.80,14.72,72.50,10.89,0.0,0.830,99.6,1.00,,,,,
,11.66,3480,6.90,14.91,76.81,11.41,0.0,0.845,99.6,1.00,,,,,
,12.16,3600,6.75,14.53,78.33,11.91,0.0,0.830,99.6,1.00,,,,,
,12.68,3760,6.90,15.10,82.57,12.42,0.0,0.840,99.6,1.00,,,,,
,13.19,3880,6.80,15.04,84.44,12.94,0.0,0.845,99.6,1.00,,,,,
,13.69,4000,6.90,15.30,88.47,13.43,0.0,0.845,99.6,1.00,,,,,
,14.22,4160,6.95,15.36,91.59,13.95,0.0,0.855,99.6,1.00,,,,,
,14.75,4280,6.95,15.42,95.21,14.48,0.0,0.855,99.6,1.00,,,,,
,15.27,4440,6.85,14.98,96.73,15.01,0.0,0.855,99.6,1.00,,,,,
,15.78,4560,7.00,15.74,101.25,15.52,0.0,0.860,99.6,1.00,,,,,
,16.31,4680,6.95,15.42,103.19,16.05,0.0,0.860,99.6,1.00,,,,,
,16.84,4800,7.10,16.06,108.33,16.57,0.0,0.860,99.6,1.00,,,,,
,17.35,4880,7.00,15.87,109.44,17.10,0.0,0.870,99.6,1.00,,,,,
,17.85,5040,7.05,16.06,112.57,17.60,0.0,0.865,99.6,1.00,,,,,
,18.37,5120,7.00,16.13,114.51,18.11,0.0,0.870,99.6,1.00,,,,,
,18.88,5200,6.95,16.32,115.62,18.63,0.0,0.875,99.6,1.00,,,,,
,19.39,5320,6.85,16.32,116.73,19.13,0.0,0.875,99.6,1.00,,,,,
,19.91,5440,6.95,16.32,120.76,19.65,0.0,0.885,99.6,1.00,,,,,
,20.44,5520,6.85,16.32,120.62,20.18,0.0,0.890,99.6,1.00,,,,,
,20.94,5600,6.80,16.32,120.83,20.69,0.0,0.890,99.6,1.00,,,,,
,21.45,5680,6.75,16.32,121.81,21.19,0.0,0.895,99.6,1.00,,,,,
,21.98,5760,6.80,16.32,125.76,21.72,0.0,0.855,99.6,1.00,,,,,
,22.49,5880,6.70,16.32,125.34,22.24,0.0,0.890,99.6,1.00,,,,,
,22.99,5960,6.60,16.32,125.21,22.74,0.0,0.890,99.6,1.00,,,,,
,23.49,5960,1.75,0.90,34.65,23.24,0.0,0.895,99.6,1.00,,,,,
,24.00,5880,0.65,1.15,12.84,23.74,0.0,0.505,0.0,1.00,,,,,
,24.54,5720,0.65,1.22,12.01,24.26,0.0,0.015,0.0,1.00,,,,,
,25.07,5640,0.60,1.22,11.59,24.81,0.0,0.015,0.0,1.00,,,,,
,25.59,5560,0.60,1.22,11.46,25.32,0.0,0.015,0.0,1.00,,,,,
,26.10,5480,0.60,1.28,11.04,25.85,0.0,0.015,0.0,1.00,,,,,
,26.61,5400,0.60,1.22,10.83,26.35,0.0,0.015,0.0,1.00,,,,,
,27.14,5320,0.60,1.22,10.48,26.87,0.0,0.015,0.0,1.00,,,,,
,27.67,5240,0.60,1.28,10.28,27.40,0.0,0.015,0.0,1.00,,,,,
,28.19,5200,0.60,1.22,10.00,27.94,0.0,0.010,0.0,1.00,,,,,
,28.70,5120,0.60,1.22,9.86,28.44,0.0,0.015,0.0,1.00,,,,,
,29.21,5040,0.60,1.15,9.65,28.96,0.0,0.015,0.0,1.00,,,,,
,29.73,4960,0.60,1.22,9.44,29.47,0.0,0.010,0.0,1.00,,,,,
,30.26,4880,0.60,1.02,9.31,30.00,0.0,0.010,0.0,1.00,,,,,
,30.78,4840,0.55,1.09,9.03,30.52,0.0,0.010,0.0,1.00,,,,,
,31.31,4760,0.55,1.15,8.96,31.04,0.0,0.010,0.0,1.00,,,,,
,31.82,4680,0.55,1.15,8.75,31.58,0.0,0.010,0.0,1.00,,,,,
,32.34,4600,0.55,1.15,8.68,32.09,0.0,0.010,0.0,1.00,,,,,
,32.86,4560,0.55,1.09,8.33,32.60,0.0,0.010,0.0,1.00,,,,,
,33.39,4480,0.55,1.09,8.19,33.12,0.0,0.010,0.0,1.00,,,,,
,33.90,4440,0.55,1.15,8.12,33.65,0.0,0.010,0.0,1.00,,,,,
,34.43,4360,0.55,1.09,7.92,34.17,0.0,0.010,0.0,1.00,,,,,
,34.95,4320,0.55,1.15,7.92,34.69,0.0,0.010,0.0,1.00,,,,,
,35.46,4240,0.55,1.09,7.71,35.20,0.0,0.010,0.0,1.00,,,,,
,35.95,4200,0.55,1.15,7.57,35.70,0.0,0.010,0.0,1.00,,,,,
,36.48,4120,0.55,1.09,7.43,36.22,0.0,0.010,0.0,1.00,,,,,
,37.00,4080,0.55,1.09,7.29,36.75,0.0,0.010,0.0,1.00,,,,,
,37.52,4040,0.55,1.09,7.01,37.26,0.0,0.010,0.0,1.00,,,,,
,38.05,3960,0.55,1.09,7.01,37.78,0.0,0.010,0.0,1.00,,,,,
,38.56,3920,0.50,1.09,6.73,38.30,0.0,0.010,0.0,1.00,,,,,
,39.07,3880,0.50,1.02,6.67,38.81,0.0,0.010,0.0,1.00,,,,,
,39.59,3800,0.55,1.09,6.67,39.32,0.0,0.010,0.0,1.00,,,,,
,40.12,3760,0.50,1.09,6.46,39.86,0.0,0.010,0.0,1.00,,,,,
,40.64,3680,0.50,1.09,6.39,40.38,0.0,0.010,0.0,1.00,,,,,
,41.15,3640,0.50,1.09,6.25,40.89,0.0,0.010,0.0,1.00,,,,,
,41.65,3600,0.50,1.02,6.11,41.40,0.0,0.010,0.0,1.00,,,,,
,42.18,3520,0.50,1.02,6.04,41.91,0.0,0.010,0.0,1.00,,,,,
,42.72,3480,0.50,1.09,5.97,42.44,0.0,0.010,0.0,1.00,,,,,
,43.24,3440,0.50,1.02,5.83,42.98,0.0,0.010,0.0,1.00,,,,,
,43.75,3400,0.50,1.09,5.83,43.50,0.0,0.010,0.0,1.00,,,,,
,44.26,3320,0.50,1.02,5.62,44.00,0.0,0.010,0.0,1.00,,,,,
,44.78,3280,0.50,1.09,5.56,44.52,0.0,0.010,0.0,1.00,,,,,
,45.28,3240,0.50,1.02,5.48,45.03,0.0,0.010,0.0,1.00,,,,,
,45.80,3200,0.50,1.02,5.42,45.54,0.0,0.010,0.0,1.00,,,,,
,46.31,3160,0.50,1.02,5.28,46.06,0.0,0.010,0.0,1.00,,,,,
,46.83,3080,0.50,1.02,5.14,46.57,0.0,0.010,0.0,1.00,,,,,
,47.36,3040,0.50,1.02,5.07,47.10,0.0,0.010,0.0,1.00,,,,,
,47.86,3000,0.50,1.02,5.00,47.61,0.0,0.010,0.0,1.00,,,,,
,48.38,2960,0.50,1.02,4.86,48.12,0.0,0.010,0.0,1.00,,,,,
,48.91,2880,0.50,1.09,4.79,48.65,0.0,0.010,0.0,1.00,,,,,
,49.45,2840,0.50,1.02,4.79,49.18,0.0,0.010,0.0,1.00,,,,,
,49.98,2800,0.50,1.02,4.65,49.71,0.0,0.010,0.0,1.00,,,,,
,50.51,2760,0.50,1.02,4.51,50.24,0.0,0.010,0.0,1.00,,,,,
,51.03,2720,0.50,1.02,4.44,50.77,0.0,0.010,0.0,1.00,,,,,
,51.53,2680,0.50,1.02,4.44,51.28,0.0,0.010,0.0,1.00,,,,,
,52.05,2640,0.50,1.02,4.37,51.79,0.0,0.010,0.0,1.00,,,,,
,52.57,2560,0.50,1.02,4.23,52.31,0.0,0.010,0.0,1.00,,,,,
,53.10,2520,0.50,1.02,4.17,52.83,0.0,0.010,0.0,1.00,,,,,
,53.62,2480,0.50,1.09,4.09,53.36,0.0,0.010,0.0,1.00,,,,,
,54.15,2440,0.50,1.02,3.96,53.88,0.0,0.010,0.0,1.00,,,,,
,54.68,2400,0.50,1.02,3.89,54.41,0.0,0.010,0.0,1.00,,,,,
,55.21,2360,0.55,1.15,4.17,54.94,0.0,0.010,0.0,1.00,,,,,
,55.72,2320,0.50,1.09,4.03,55.47,0.0,0.010,0.0,1.00,,,,,
,56.22,2280,0.55,1.15,3.96,55.97,0.0,0.010,0.0,1.00,,,,,
,56.73,2240,0.55,1.15,3.96,56.47,0.0,0.010,0.0,1.00,,,,,
,57.26,2200,0.55,1.15,3.89,56.99,0.0,0.010,0.0,1.00,,,,,
,57.79,2160,0.55,1.15,3.82,57.52,0.0,0.010,0.0,1.00,,,,,
,58.32,2120,0.55,1.15,3.82,58.05,0.0,0.010,0.0,1.00,,,,,
,58.83,2080,0.55,1.15,3.82,58.58,0.0,0.010,0.0,1.00,,,,,
,59.34,2040,0.55,1.15,3.68,59.08,0.0,0.010,0.0,1.00,,,,,
,59.87,2000,0.55,1.22,3.61,59.60,0.0,0.010,0.0,1.00,,,,,
,60.39,1960,0.55,1.15,3.47,60.13,0.0,0.010,0.0,1.00,,,,,
,60.90,1920,0.55,1.15,3.40,60.64,0.0,0.010,0.0,1.00,,,,,
,61.43,1880,0.55,1.22,3.40,61.16,0.0,0.010,0.0,1.00,,,,,
,61.95,1840,0.55,1.15,3.26,61.69,0.0,0.010,0.0,1.00,,,,,
,62.46,1800,0.55,1.22,3.26,62.20,0.0,0.010,0.0,1.00,,,,,
,62.98,1760,0.55,1.22,3.19,62.72,0.0,0.010,0.0,1.00,,,,,
,63.50,1720,0.55,1.22,3.12,63.24,0.0,0.010,0.0,1.00,,,,,
,64.00,1680,0.55,1.28,3.12,63.75,0.0,0.010,0.0,1.00,,,,,
,64.53,1640,0.55,1.28,3.06,64.26,0.0,0.010,0.0,1.00,,,,,
,65.05,1600,0.55,1.22,2.98,64.79,0.0,0.010,0.0,1.00,,,,,
,65.57,1560,0.55,1.28,2.92,65.31,0.0,0.010,0.0,1.00,,,,,
,66.10,1520,0.55,1.28,2.92,65.84,0.0,0.010,0.0,1.00,,,,,
,66.61,1520,0.60,1.28,2.84,66.36,0.0,0.010,0.0,1.00,,,,,
,67.12,1480,0.60,1.34,2.84,66.86,0.0,0.010,0.0,1.00,,,,,
,67.65,1440,0.60,1.34,2.78,67.38,0.0,0.010,0.0,1.00,,,,,
,68.18,1400,0.60,1.47,2.78,67.91,0.0,0.010,0.0,1.00,,,,,
,68.69,1360,0.60,1.34,2.57,68.44,0.0,0.010,0.0,1.00,,,,,
